shock_name,asset,threshold_sigma,n_shocks,fwd_median_return,fwd_mean_return,fwd_trimmed_mean,ci_low,ci_high,positive_rate_pct,p_value
DXY Surge (>+2 sigma),dxy,2.0,27,0.0033539349332205592,0.0026562276999169583,0.003340410315340342,-0.008110279239135543,0.013717793788060373,62.96296296296296,0.3607836216688156
DXY Collapse (<-2 sigma),dxy,-2.0,17,0.00794510248903757,0.005425969167278274,0.00530116193832287,-0.007612859692137097,0.01605970565201842,70.58823529411765,0.243499755859375
Real Yield Spike (>+2 sigma),real_yield,2.0,17,0.0009323361464974589,0.0029679307031411314,0.001002393898577636,-0.010281394065813076,0.009506804114856937,52.94117647058824,0.8175811767578125
Real Yield Collapse (<-2 sigma),real_yield,-2.0,14,-0.0043473626408983,-0.006415180286660922,-0.0053921032162842775,-0.00880378537954507,0.0036250567256690402,35.714285714285715,0.216552734375
VIX Panic Spike (>+2 sigma),vix,2.0,25,-0.004543233120510193,-0.002228186663179947,-0.0017286089122989948,-0.01476555147226244,0.01506577791947783,48.0,0.7509929537773132
S&P 500 Severe Selloff (<-3 sigma),spx,-3.0,7,0.01506577791947783,0.012675700259270466,0.012675700259270466,0.008701361810423913,0.021887255786985138,85.71428571428571,0.046875
WTI Oil Shock (>+3 sigma),wti,3.0,7,-0.0015077085588193206,-0.003060709740914721,-0.003060709740914721,-0.023231348172609412,0.015308337921110304,42.857142857142854,0.8125
Gold Breakout (>+2 sigma),gold,2.0,20,0.005946619962463373,0.0052536685577612655,0.005844619623623544,-0.0009117669896774871,0.014800489262073113,70.0,0.17685317993164062
Gold Flush (<-2 sigma),gold,-2.0,18,0.006526203829852806,0.0003154600226212649,0.000510924313665978,-0.011485684664711338,0.01283915316023354,61.111111111111114,0.932281494140625
